Year data collection,Placement test score (%),Proficiency,Age,Age of exposure to English,Years studying English,Stay abroad in English speaking country (>= 1 month),Stay abroad (months),Proficiency (self-assessment) speaking,Proficiency (self-assessment) listening,Proficiency (self-assessment) reading,Proficiency (self-assessment) writing,Proficiency (self-assessment),Proficiency (self-assessment) in additional language speaking,Proficiency (self-assessment) in additional language listening,Proficiency (self-assessment) in additional language reading,Proficiency (self-assessment) in additional language writing,Task number,Language certificates (highest level),FatherL1=L1,MotherL1=L1,Parents L1 different,is L1 spoken at home,is Father L1 spoken at home,is Mother L1 spoken at home,Number of languages spoken at home,is English spoken at home,Number of additional foreign languages,French,German,Spanish,Italian,Latin,Chinese,Portuguese,Japanese,Russian,Greek,Arabic,Turkish,Number of additional foreign language(s) not M/F's L1 and home L,Sex: Female,L1: German,Online,unique_word_count,lexical_diversity,sentence_count,avg_words_per_sentence,punctuation_count,gunning_fog_index,lemmatized_freqs_avg,lemmatized_freqs_None_ratio,pos_ratio_n,pos_ratio_v,pos_ratio_j,pos_ratio_r,pos_ratio_i,pos_ratio_p,pos_ratio_c,pos_ratio_d,pos_ratio_m,pos_ratio_u,pos_ratio_a
2016,50.0,3,26.0,8.0,13.0,0,0.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,13,2.6,False,False,True,True,False,False,1,False,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1,1,66,0.48175182481751827,10,13.7,15,4.88,323.3333333333333,0.26666666666666666,0.2833333333333333,0.2833333333333333,0.05,0.03333333333333333,0.13333333333333333,0.05,0.05,0.03333333333333333,0.0,0.0,0.0
2016,61.7,3,19.0,10.0,11.0,0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,13,3.0,False,False,True,True,False,False,1,False,3,1,0,0,0,0,0,0,0,1,0,0,0,2,1.0,1,1,82,0.5540540540540541,12,12.333333333333334,17,5.28,338.1756756756757,0.33783783783783783,0.25675675675675674,0.21621621621621623,0.06756756756756757,0.12162162162162163,0.0945945945945946,0.06756756756756757,0.04054054054054054,0.04054054054054054,0.013513513513513514,0.0,0.0
2016,61.7,3,21.0,9.0,12.0,0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,13,4.0,True,True,True,True,True,True,1,False,2,1,0,1,0,0,0,0,0,0,0,0,0,2,1.0,1,1,103,0.4724770642201835,11,19.818181818181817,23,7.9,589.0102040816327,0.23469387755102042,0.24489795918367346,0.22448979591836735,0.07142857142857142,0.11224489795918367,0.12244897959183673,0.07142857142857142,0.030612244897959183,0.04081632653061224,0.0,0.0,0.0
2016,61.7,3,22.0,7.0,15.0,0,0.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,13,3.8,True,True,True,True,True,True,1,False,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1,1,92,0.5139664804469274,11,16.272727272727273,27,6.17,629.2705882352941,0.17647058823529413,0.24705882352941178,0.2235294117647059,0.08235294117647059,0.12941176470588237,0.10588235294117647,0.07058823529411765,0.03529411764705882,0.047058823529411764,0.0,0.0,0.0
2018,63.3,3,33.0,10.0,10.0,0,0.0,4.0,4.0,4.0,3.0,3.75,3.0,3.0,3.0,3.0,14,4.0,True,True,True,True,True,True,1,False,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1,1,179,0.3816631130063966,17,27.58823529411765,64,10.62,623.3291925465838,0.22981366459627328,0.2795031055900621,0.2546583850931677,0.062111801242236024,0.11180124223602485,0.11180124223602485,0.043478260869565216,0.018633540372670808,0.049689440993788817,0.012422360248447204,0.0,0.0
2016,65.0,3,22.0,8.0,11.0,0,0.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,13,3.0,True,True,True,True,True,True,1,False,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0,1,1,71,0.4965034965034965,9,15.88888888888889,27,5.21,566.4328358208955,0.2537313432835821,0.29850746268656714,0.208955223880597,0.05970149253731343,0.08955223880597014,0.13432835820895522,0.05970149253731343,0.029850746268656716,0.029850746268656716,0.014925373134328358,0.0,0.0
2018,65.0,3,24.0,8.0,16.0,0,0.0,5.0,5.0,5.0,4.0,4.75,6.0,6.0,6.0,5.0,14,3.6,True,True,True,True,True,True,1,False,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0,1,1,58,0.4715447154471545,6,20.5,11,8.19,323.8545454545455,0.2545454545454545,0.2909090909090909,0.2,0.01818181818181818,0.09090909090909091,0.14545454545454545,0.03636363636363636,0.03636363636363636,0.07272727272727272,0.0,0.0,0.0
2018,66.7,4,21.0,8.0,13.0,0,0.0,4.0,4.0,4.0,4.0,4.0,2.0,1.8,2.4,2.0,14,3.8,False,False,True,True,False,False,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,114,0.4956521739130435,13,17.692307692307693,26,6.67,477.77142857142854,0.2,0.2571428571428571,0.23809523809523808,0.06666666666666667,0.10476190476190476,0.14285714285714285,0.0380952380952381,0.02857142857142857,0.0380952380952381,0.01904761904761905,0.0,0.0
2016,66.7,4,26.0,10.0,12.0,0,0.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,13,1.2,True,True,True,True,True,True,1,False,2,1,0,1,0,0,0,0,0,0,0,0,0,2,1.0,1,1,100,0.5263157894736842,16,11.875,23,5.12,380.9222222222222,0.28888888888888886,0.2,0.25555555555555554,0.07777777777777778,0.08888888888888889,0.12222222222222222,0.08888888888888889,0.011111111111111112,0.03333333333333333,0.0,0.0,0.0
2016,68.3,4,20.0,8.0,9.0,0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,13,3.2,True,True,True,True,True,True,1,False,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0,1,1,93,0.5027027027027027,13,14.23076923076923,15,6.18,526.1379310344828,0.25287356321839083,0.22988505747126436,0.1839080459770115,0.09195402298850575,0.14942528735632185,0.12643678160919541,0.06896551724137931,0.034482758620689655,0.034482758620689655,0.011494252873563218,0.0,0.0
